english,"{'rouge1': 0.10604279210346812, 'rouge2': 0.04539563038624528, 'rougeL': 0.06953601901690665, 'rougeLsum': 0.0954967171224216}","[[0.57195638 0.3319224  0.50012756 0.38702502 0.39261244]
 [0.47057616 0.40532688 0.58587604 0.47723759 0.42761341]
 [0.43381007 0.32947713 0.67038936 0.38088229 0.38470379]
 [0.53352438 0.3814264  0.64760341 0.60827647 0.51600059]
 [0.46605611 0.32537004 0.56515569 0.43474924 0.66241367]]"
german,"{'rouge1': 0.04179125963529452, 'rouge2': 0.011320094896699523, 'rougeL': 0.028527867387796713, 'rougeLsum': 0.035587992199703565}","[[0.58555379 0.19943319 0.33552375 0.13285294 0.36457205]
 [0.5399671  0.26908734 0.43195384 0.12315055 0.49445636]
 [0.48549629 0.19990135 0.45002902 0.06390331 0.41325573]
 [0.49800413 0.23833702 0.43252377 0.15291457 0.43152495]
 [0.51015997 0.23060281 0.45170867 0.18196442 0.45451921]]"
french,"{'rouge1': 0.082323013688923, 'rouge2': 0.03463571505042342, 'rougeL': 0.05302169559337194, 'rougeLsum': 0.07358945994097485}","[[0.16697141 0.44287307 0.4377098  0.29789082 0.40967771]
 [0.1644323  0.50907309 0.5448276  0.35070408 0.46698413]
 [0.17422046 0.4489408  0.51991574 0.25824602 0.36637095]
 [0.15921187 0.48251783 0.51779552 0.55940374 0.45200365]
 [0.1836347  0.50754097 0.50050008 0.32098629 0.64124172]]"
spanish,"{'rouge1': 0.056324772000638755, 'rouge2': 0.02913581851834887, 'rougeL': 0.04054386956966778, 'rougeLsum': 0.04835716697242132}","[[0.73135679 0.37884382 0.5703749  0.24174549 0.60515935]
 [0.53794417 0.39381536 0.57189975 0.39122391 0.60167428]
 [0.50719659 0.38607079 0.54998865 0.25835509 0.65393579]
 [0.54405792 0.39010923 0.59226624 0.33610567 0.63551236]
 [0.49593118 0.36445422 0.55531626 0.24894592 0.59954947]]"
